,camis,std_dba,building,street,boro,cuisine,insp_type,ts,grade,score,lat,long,county,year,tt_a,tt_b,tt_c
21353,50016822,JIMBOS HAMBURGER,2027,Lexington Avenue,Manhattan,Hamburgers,Cycle Inspection / Re-inspection,2019-07-22,A,12.0,40.803266412613,-73.938211829923,New York,2019,A,,
21355,50016824,COLUMBIA UNIVERSITY MEDICAL CENTER BOOKSTORE CAFE,711,West 168 Street,Manhattan,Coffee/Tea,Cycle Inspection / Re-inspection,2019-06-17,A,10.0,40.842252207781,-73.942490836466,New York,2019,A,,
21357,50016825,THE WAYLON,736,10 Avenue,Manhattan,Tex-Mex,Cycle Inspection / Re-inspection,2019-06-20,A,10.0,40.764828752382,-73.991664549399,New York,2019,A,,
21359,50016827,CULTURE 36,247,West 36 Street,Manhattan,Coffee/Tea,Cycle Inspection / Re-inspection,2019-07-22,A,6.0,40.752853323146,-73.99104524865,New York,2019,A,,
21360,50016842,LOLA LOLA RESTAURANT BAR,1306,Saint Nicholas Avenue,Manhattan,Spanish,Cycle Inspection / Re-inspection,2022-05-18,A,13.0,40.84571282717,-73.936350598581,New York,2022,A,,
21362,50016847,SAN GENNARO,2329,Arthur Avenue,Bronx,Italian,Cycle Inspection / Re-inspection,2022-09-22,A,0.0,40.854094781602,-73.888828978861,Bronx,2022,A,,
21367,50016849,WIBAR,NKA,La Guardia Airport,Queens,American,Cycle Inspection / Re-inspection,2018-03-08,A,2.0,40.774414029772,-73.877293351848,Queens,2018,A,,
21368,50016857,SUBWAY KRISPY KRUNCHY CHICKEN,13011,N Conduit Avenue,Queens,Sandwiches,Cycle Inspection / Re-inspection,2022-05-03,A,6.0,40.667067484463,-73.809932731858,Queens,2022,A,,
21371,50016861,MIZU HIBACHI JAPANESE FUSION,240,Page Avenue,Staten Island,Japanese,Cycle Inspection / Re-inspection,2022-09-19,A,13.0,40.518121142469,-74.234492004818,Richmond,2022,A,,
21375,50016877,ASIAN KITCHEN,8543,Grand Avenue,Queens,Chinese,Cycle Inspection / Re-inspection,2022-11-29,A,12.0,40.735598789265,-73.881027630964,Queens,2022,A,,
21382,50016888,LOS TACOS MCONDO,502,Grand Street,Brooklyn,Tex-Mex,Cycle Inspection / Re-inspection,2022-01-27,A,13.0,40.71097446593,-73.950781731316,Kings,2022,A,,
21389,50016892,THE FOLLY,92,West Houston Street,Manhattan,American,Cycle Inspection / Re-inspection,2019-11-26,A,13.0,40.727041919505,-74.000129885411,New York,2019,A,,
21392,50016926,DELICE SARRASIN,20,Christopher Street,Manhattan,French,Cycle Inspection / Re-inspection,2023-02-16,A,9.0,40.733912065258,-74.000660319176,New York,2023,A,,
21394,50016931,MCDONALDS,5407,Kings Plaza,Brooklyn,Hamburgers,Cycle Inspection / Re-inspection,2020-02-19,A,2.0,40.611233985165,-73.920263169752,Kings,2020,A,,
21399,50016943,EL NUEVO ROBLE BILLIARDS,216,East 170 Street,Bronx,Spanish,Cycle Inspection / Re-inspection,2022-09-08,C,39.0,40.838388239325,-73.912938970307,Bronx,2022,,,C
21406,50016957,M AND G RESTAURANT,2472,Arthur Avenue,Bronx,American,Cycle Inspection / Re-inspection,2022-11-18,A,12.0,40.857133372792,-73.886199379067,Bronx,2022,A,,
21416,50016968,AGED,10702,70Th Road,Queens,Steakhouse,Cycle Inspection / Re-inspection,2019-10-28,A,12.0,40.720781671946,-73.845743069668,Queens,2019,A,,
21419,50016989,RETRO BLENDS RETRO FITNESS,2244,Church Avenue,Brooklyn,"Juice, Smoothies, Fruit Salads",Cycle Inspection / Re-inspection,2022-11-14,A,10.0,40.65041654897,-73.957825096973,Kings,2022,A,,
21421,50017001,KENNEDY FRIED CHICKEN,638,East 169 Street,Bronx,Chicken,Cycle Inspection / Re-inspection,2019-09-10,A,10.0,40.831077429293,-73.900843035896,Bronx,2019,A,,
21423,50017015,AL HORNO LEAN MEXICAN,1089,2 Avenue,Manhattan,Mexican,Cycle Inspection / Re-inspection,2019-10-03,B,25.0,40.759594981489,-73.965090607984,New York,2019,,B,
21429,50017016,DUNKIN,4480,21St Street,Queens,Donuts,Cycle Inspection / Re-inspection,2022-06-22,A,0.0,40.747648581883,-73.947517215264,Queens,2022,A,,
21431,50017040,NAKED DOG,47,Java Street,Brooklyn,Italian,Cycle Inspection / Re-inspection,2020-02-27,A,12.0,40.731168291878,-73.959231484999,Kings,2020,A,,
21433,50017044,JUST SALAD,90,Broad Street,Manhattan,Salads,Cycle Inspection / Re-inspection,2022-06-16,A,10.0,40.703946851643,-74.011591848104,New York,2022,A,,
21435,50017045,JUST SALAD,140,8 Avenue,Manhattan,Salads,Cycle Inspection / Re-inspection,2020-03-05,A,10.0,40.741528780038,-74.001212528442,New York,2020,A,,
21438,50017047,JUST SALAD,2056,Broadway,Manhattan,Salads,Cycle Inspection / Re-inspection,2022-11-10,A,9.0,40.777659384185,-73.98204769297,New York,2022,A,,
21440,50017053,NEW CHENGS ORIENTAL EXPRESS,4213,Bowne Street,Queens,Chinese,Cycle Inspection / Re-inspection,2019-11-14,A,10.0,40.756873615692,-73.821796385939,Queens,2019,A,,
21442,50017056,SILVER SPOON DINER,58-21,Junction Boulevard,Queens,American,Cycle Inspection / Re-inspection,2022-08-30,A,0.0,40.73521885262,-73.865097330297,Queens,2022,A,,
21444,50017059,BASES LOADED SPORTS BAR,2997,Westchester Avenue,Bronx,American,Cycle Inspection / Re-inspection,2019-09-25,B,14.0,40.847103775314,-73.83216943475,Bronx,2019,,B,
21448,50017080,TEN RENS TEA TIME,73,Mott Street,Manhattan,Coffee/Tea,Cycle Inspection / Re-inspection,2023-01-26,A,10.0,40.716271437418,-73.998106145023,New York,2023,A,,
21454,50017098,ZUMA NEW YORK,261,Madison Avenue,Manhattan,Japanese,Cycle Inspection / Re-inspection,2019-08-06,A,7.0,40.750798973697,-73.980730375772,New York,2019,A,,
21455,50017111,J J SPORT RESTAURANT,545,East 183 Street,Bronx,Latin American,Cycle Inspection / Re-inspection,2022-11-25,A,3.0,40.854294688699,-73.89121806612,Bronx,2022,A,,
21456,50017126,BRAVO PIZZA,6,East 42 Street,Manhattan,Pizza,Cycle Inspection / Re-inspection,2022-10-03,A,9.0,40.753321377383,-73.980545566087,New York,2022,A,,
21458,50017151,TAKUMI TACO,75,9 Avenue,Manhattan,Tex-Mex,Cycle Inspection / Re-inspection,2022-06-07,B,26.0,40.741869040229,-74.004713006739,New York,2022,,B,
21463,50017154,HAAT BAZAAR,3711,73Rd Street,Queens,Bangladeshi,Cycle Inspection / Re-inspection,2022-02-02,A,9.0,40.748474947409,-73.892629446555,Queens,2022,A,,
21465,50017177,ALNOOR HALAL DELI,710,4 Avenue,Brooklyn,Middle Eastern,Cycle Inspection / Re-inspection,2023-02-01,A,12.0,40.662056628622,-73.996370369542,Kings,2023,A,,
21468,50017182,ICOOK BUFFET,13324,41St Avenue,Queens,Korean,Cycle Inspection / Re-inspection,2020-03-12,C,51.0,40.757808738743,-73.830294501765,Queens,2020,,,C
21473,50017185,OASIS JIMMA JUICE BAR,3163,Broadway,Manhattan,"Juice, Smoothies, Fruit Salads",Cycle Inspection / Re-inspection,2023-01-26,B,27.0,40.814647218976,-73.959057318676,New York,2023,,B,
21477,50017190,DOUGHNUT PLANT,245,Flatbush Avenue,Brooklyn,Coffee/Tea,Cycle Inspection / Re-inspection,2019-04-11,A,13.0,40.680776096245,-73.975064947193,Kings,2019,A,,
21480,50017199,SEK END SUN,32-11,Broadway,Queens,American,Cycle Inspection / Re-inspection,2019-11-07,A,12.0,40.761515936728,-73.924403502687,Queens,2019,A,,
21482,50017209,THE FAMOUS JIMBOS HAMBURGER PALACE,1977,Jerome Avenue,Bronx,Hamburgers,Cycle Inspection / Re-inspection,2022-11-15,A,7.0,40.852152697147,-73.908890446498,Bronx,2022,A,,
21486,50017218,TSOB TSOBE CAFE LOUNGE BAR,2817,Coney Island Avenue,Brooklyn,Russian,Cycle Inspection / Re-inspection,2022-08-08,B,18.0,40.587828136795,-73.960381441103,Kings,2022,,B,
21491,50017219,OGAWA CAFE,36,East 4 Street,Manhattan,Japanese,Cycle Inspection / Re-inspection,2023-02-13,A,10.0,40.727420436211,-73.992260950127,New York,2023,A,,
21493,50017221,FALAFEL OFF THE KORNER,1675,East 2 Street,Brooklyn,Jewish/Kosher,Cycle Inspection / Re-inspection,2020-01-28,A,10.0,40.60849702708,-73.971821888576,Kings,2020,A,,
21495,50017226,WXYZ BAR,49,Ann Street,Manhattan,American,Cycle Inspection / Re-inspection,2019-10-15,A,4.0,40.710298632532,-74.006828085708,New York,2019,A,,
21496,50017228,DUNKIN,21295,26Th Avenue,Queens,Donuts,Cycle Inspection / Re-inspection,2019-08-06,A,9.0,40.778366317536,-73.776947549132,Queens,2019,A,,
21499,50017235,EL SOMBRERO,108,Stanton Street,Manhattan,Latin American,Cycle Inspection / Re-inspection,2019-09-24,A,12.0,40.721175679791,-73.987571785968,New York,2019,A,,
21503,50017241,6B,60,East 42 Street,Manhattan,American,Cycle Inspection / Re-inspection,2022-09-02,A,7.0,40.752525062052,-73.978661737793,New York,2022,A,,
21505,50017248,SHORE HAVEN DINER,622,Castle Hill Avenue,Bronx,American,Cycle Inspection / Re-inspection,2019-10-01,A,12.0,40.819436994639,-73.848114837406,Bronx,2019,A,,
21507,50017261,CAFE DE NOVO,94 1/2,Greenwich Street,Manhattan,American,Cycle Inspection / Re-inspection,2022-01-25,A,12.0,40.708077516357,-74.013551114642,New York,2022,A,,
21510,50017262,ROYAL CUISINE YARD FOOD,324A,Utica Avenue,Brooklyn,Caribbean,Cycle Inspection / Re-inspection,2022-06-22,A,13.0,40.666828488213,-73.931320434216,Kings,2022,A,,
21513,50017272,THE LITTLE SWEET CAFE,77B,Hoyt Street,Brooklyn,Coffee/Tea,Cycle Inspection / Re-inspection,2022-09-15,A,9.0,40.688188927831,-73.986698138456,Kings,2022,A,,
21517,50017275,SWEETGREEN,100,Kenmare Street,Manhattan,Salads,Cycle Inspection / Re-inspection,2019-10-02,A,13.0,40.721351982949,-73.997153588714,New York,2019,A,,
21521,50017293,MANOUSHEH,193,Bleecker Street,Manhattan,Middle Eastern,Cycle Inspection / Re-inspection,2023-01-13,A,12.0,40.729273405603,-74.001403531203,New York,2023,A,,
21524,50017295,EL PALO BAR RESTAURANT,3812,104Th Street,Queens,Latin American,Cycle Inspection / Re-inspection,2020-03-05,A,12.0,40.751313771081,-73.862458731067,Queens,2020,A,,
21532,50017303,BATATA,3021,Fort Hamilton Parkway,Brooklyn,Middle Eastern,Cycle Inspection / Re-inspection,2023-03-07,A,11.0,40.648366478143,-73.978630312446,Kings,2023,A,,
21535,50017311,OFF TO START CAFE,535,6 Avenue,Brooklyn,Coffee/Tea,Cycle Inspection / Re-inspection,2022-09-27,A,10.0,40.664924185833,-73.986515358908,Kings,2022,A,,
21538,50017329,JUS CHILL BAR GRILL,589,New Lots Avenue,Brooklyn,Caribbean,Cycle Inspection / Re-inspection,2022-09-09,B,24.0,40.664457709627,-73.887163764425,Kings,2022,,B,
21549,50017334,TEXAS CHICKEN BURGERS,1104,Lafayette Avenue,Brooklyn,Chicken,Cycle Inspection / Re-inspection,2022-03-24,A,9.0,40.692572254932,-73.927687757472,Kings,2022,A,,
21553,50017360,MOZZARELLA,264,Lee Avenue,Brooklyn,Jewish/Kosher,Cycle Inspection / Re-inspection,2022-09-01,A,10.0,40.699892295057,-73.953696746066,Kings,2022,A,,
21565,50017407,CROWN FRIED CHICKEN,87-92,Parsons Boulevard,Queens,Chicken,Cycle Inspection / Re-inspection,2023-02-27,A,11.0,40.706991274703,-73.802381139824,Queens,2023,A,,
21567,50017418,CARITA FELIZ,218,Stockholm Street,Brooklyn,"Juice, Smoothies, Fruit Salads",Cycle Inspection / Re-inspection,2022-11-17,B,22.0,40.700934155646,-73.921356438606,Kings,2022,,B,
21571,50017441,AMARANTO,887,Hart Street,Brooklyn,Tex-Mex,Cycle Inspection / Re-inspection,2020-02-25,A,2.0,40.702875028748,-73.92182300031,Kings,2020,A,,
21575,50017442,TRUVA CAFE GRILL,22-41,31 Street,Queens,Mediterranean,Cycle Inspection / Re-inspection,2023-01-18,A,12.0,40.77521974259,-73.91178706634,Queens,2023,A,,
21584,50017455,NEST RESTAURANT BAR,125-17,101 Avenue,Queens,Caribbean,Cycle Inspection / Re-inspection,2022-03-02,B,18.0,40.691461225686,-73.820691755256,Queens,2022,,B,
21591,50017467,MIS TIERRAS COLOMBIANAS,54-08,Roosevelt Avenue,Queens,Latin American,Cycle Inspection / Re-inspection,2020-02-27,A,8.0,40.744779234482,-73.910340662791,Queens,2020,A,,
21597,50017469,HOUSE OF SEAFOOD EXPRESS,429,Lenox Avenue,Manhattan,Seafood,Cycle Inspection / Re-inspection,2022-10-18,A,2.0,40.811881652349,-73.942495505266,New York,2022,A,,
21598,50017471,HARBS,198,9 Avenue,Manhattan,Japanese,Cycle Inspection / Re-inspection,2022-09-29,C,44.0,40.74591490365,-74.001728689015,New York,2022,,,C
21602,50017536,ELIS ESSENTIALS,26,East 91 Street,Manhattan,Sandwiches/Salads/Mixed Buffet,Cycle Inspection / Re-inspection,2022-12-02,C,62.0,40.784267615779,-73.957068332628,New York,2022,,,C
21614,50017538,ELIS NIGHT SHIFT,1390,3 Avenue,Manhattan,American,Cycle Inspection / Re-inspection,2019-11-18,B,24.0,40.774383817086,-73.957229980841,New York,2019,,B,
21620,50017582,PARM,235,Columbus Avenue,Manhattan,Italian,Cycle Inspection / Re-inspection,2023-01-26,A,13.0,40.776528103646,-73.979415857365,New York,2023,A,,
21626,50017583,LITTLE CHOC APOTHECARY,141,Havemeyer Street,Brooklyn,Coffee/Tea,Cycle Inspection / Re-inspection,2019-12-06,A,11.0,40.71193775138,-73.957309882539,Kings,2019,A,,
21629,50017603,SWEET GARDEN CHINESE TAKEOUT RESTAURANT,7922,Parsons Boulevard,Queens,Chinese,Cycle Inspection / Re-inspection,2020-01-14,A,12.0,40.720644462955,-73.809263463716,Queens,2020,A,,
21631,50017631,NEW RED LANTERN,5701,Fort Hamilton Parkway,Brooklyn,Chinese,Cycle Inspection / Re-inspection,2022-11-02,C,88.0,40.63445512058,-74.003491213112,Kings,2022,,,C
21643,50017642,SUBWAY,233,Beach 20 Street,Queens,Sandwiches,Cycle Inspection / Re-inspection,2019-05-01,A,12.0,40.596002899376,-73.7541104585,Queens,2019,A,,
21645,50017690,LA ESTRELLA DEL CASTILLO RESTAURANT,948,Nostrand Avenue,Brooklyn,Latin American,Cycle Inspection / Re-inspection,2023-02-07,A,13.0,40.665691233343,-73.950901784124,Kings,2023,A,,
21651,50017701,THE KUNJIP,32,West 32 Street,Manhattan,Korean,Cycle Inspection / Re-inspection,2019-12-12,A,12.0,40.747786110928,-73.987029053187,New York,2019,A,,
21654,50017706,LITTLE CUPCAKE BAKESHOP,598,Vanderbilt Avenue,Brooklyn,Bakery Products/Desserts,Cycle Inspection / Re-inspection,2022-01-24,A,5.0,40.678408511435,-73.96860155619,Kings,2022,A,,
21655,50017709,NICKOLAS DELI RESTAURANT,6945,51St Avenue,Queens,Mexican,Cycle Inspection / Re-inspection,2022-01-31,A,10.0,40.7354448194,-73.894804731597,Queens,2022,A,,
21658,50017723,CLARENDON CUISINE,252,East 54 Street,Brooklyn,Caribbean,Cycle Inspection / Re-inspection,2023-01-17,A,12.0,40.652077812197,-73.926524524941,Kings,2023,A,,
21665,50017748,HOME CHEF INTERNATIONAL FLAVORS,23114,Merrick Boulevard,Queens,Caribbean,Cycle Inspection / Re-inspection,2022-11-17,A,11.0,40.675623464484,-73.739038257589,Queens,2022,A,,
21669,50017749,KINGS KITCHEN,92,East Broadway,Manhattan,Chinese,Cycle Inspection / Re-inspection,2022-09-07,A,12.0,40.713765307169,-73.993716246,New York,2022,A,,
21671,50017751,HEALTHY ME ORGANIC JUICE LAB,3008,37Th Street,Queens,"Juice, Smoothies, Fruit Salads",Cycle Inspection / Re-inspection,2022-07-28,C,42.0,40.764107386728,-73.917032651871,Queens,2022,,,C
21678,50017756,FRISSON ESPRESSO,326,West 47 Street,Manhattan,Coffee/Tea,Cycle Inspection / Re-inspection,2023-02-22,A,0.0,40.760793677938,-73.988430708295,New York,2023,A,,
21679,50017778,JUICES FOR LIFE,3463,East Tremont Avenue,Bronx,"Juice, Smoothies, Fruit Salads",Cycle Inspection / Re-inspection,2021-08-18,B,14.0,40.8319703535,-73.827343786955,Bronx,2021,,B,
21684,50017814,MAXS DELI COFFEE SHOP,2623,Atlantic Avenue,Brooklyn,Sandwiches,Cycle Inspection / Re-inspection,2022-10-20,C,38.0,40.675693588245,-73.897523885758,Kings,2022,,,C
21691,50017819,MALAI MARKE,318,East 6 Street,Manhattan,Indian,Cycle Inspection / Re-inspection,2023-01-12,A,10.0,40.727107153736,-73.987880957625,New York,2023,A,,
21693,50017823,THE HALAL GUYS,720,Amsterdam Avenue,Manhattan,Middle Eastern,Cycle Inspection / Re-inspection,2022-11-17,A,2.0,40.793477823804,-73.970793455791,New York,2022,A,,
21694,50017824,EL KALLEJON BOTANAS,209,East 117 Street,Manhattan,Mexican,Cycle Inspection / Re-inspection,2019-09-17,A,10.0,40.798430613978,-73.939050664599,New York,2019,A,,
21696,50017826,BRIGADEIRO BAKERY,156,Sullivan Street,Manhattan,Brazilian,Cycle Inspection / Re-inspection,2022-06-14,A,12.0,40.727297170285,-74.001695732719,New York,2022,A,,
21698,50017827,TACO BELL,8625,4 Avenue,Brooklyn,Tex-Mex,Cycle Inspection / Re-inspection,2022-11-04,B,24.0,40.622061640285,-74.028641343475,Kings,2022,,B,
21702,50017852,CHOTE NAWAB,115,Lexington Avenue,Manhattan,Indian,Cycle Inspection / Re-inspection,2019-07-23,A,11.0,40.742540271591,-73.982515506331,New York,2019,A,,
21704,50017889,JUJUBE TREE,3502,30Th Avenue,Queens,Vegan,Cycle Inspection / Re-inspection,2023-01-04,A,13.0,40.765318565914,-73.918063600461,Queens,2023,A,,
21709,50017891,PAPA JOHNS,3528,Nostrand Avenue,Brooklyn,Pizza,Cycle Inspection / Re-inspection,2022-05-12,A,9.0,40.597860430923,-73.941405811306,Kings,2022,A,,
21711,50017910,LING LING YOUNG,508,Henry Street,Brooklyn,Chinese,Cycle Inspection / Re-inspection,2023-02-27,A,10.0,40.683863934522,-73.999545696551,Kings,2023,A,,
21713,50017938,LILIA,567,Union Avenue,Brooklyn,Italian,Cycle Inspection / Re-inspection,2020-01-18,A,12.0,40.717480166571,-73.95219462036,Kings,2020,A,,
21715,50017967,PROSPERITY NOODLE,947,4 Avenue,Brooklyn,Chinese,Cycle Inspection / Re-inspection,2022-11-22,A,13.0,40.654085754239,-74.004634702015,Kings,2022,A,,
21718,50017969,LIOLA,1501,149Th Street,Queens,Italian,Cycle Inspection / Re-inspection,2016-05-02,B,17.0,40.787059871753,-73.816175697734,Queens,2016,,B,
21721,50017970,SPICE,975,Amsterdam Avenue,Manhattan,Thai,Cycle Inspection / Re-inspection,2022-01-26,A,11.0,40.801537497557,-73.964887927831,New York,2022,A,,
21723,50017978,HOLIDAY COCKTAIL LOUNGE,75,Saint Marks Place,Manhattan,American,Cycle Inspection / Re-inspection,2020-02-12,A,13.0,40.727867231945,-73.985936121429,New York,2020,A,,
21734,50017990,DENNYS,805,Pennsylvania Avenue,Brooklyn,American,Cycle Inspection / Re-inspection,2022-11-21,A,12.0,40.657892301106,-73.890097899573,Kings,2022,A,,
21737,50018004,BUS STOP DINER,3341,Broadway,Manhattan,American,Cycle Inspection / Re-inspection,2022-08-23,A,4.0,40.820195576669,-73.955010946603,New York,2022,A,,
21747,50018008,PHO SAIGON,987,1 Avenue,Manhattan,Southeast Asian,Cycle Inspection / Re-inspection,2022-08-24,C,32.0,40.756523330784,-73.964229545987,New York,2022,,,C
21754,50018021,POLLO CAMPERO,14612,Jamaica Avenue,Queens,Spanish,Cycle Inspection / Re-inspection,2022-01-24,A,0.0,40.701786873058,-73.808675656459,Queens,2022,A,,
21755,50018022,NUTRICION FAMILIAR HERBALIFE,8911,37Th Avenue,Queens,"Juice, Smoothies, Fruit Salads",Cycle Inspection / Re-inspection,2022-09-16,A,12.0,40.75045534326,-73.877601125394,Queens,2022,A,,
21757,50018025,SUBWAY,29,East 8 Street,Manhattan,Sandwiches,Cycle Inspection / Re-inspection,2020-02-12,A,9.0,40.731521250166,-73.994605783536,New York,2020,A,,
21759,50018027,AT THE WALLACE,3612,Broadway,Manhattan,American,Cycle Inspection / Re-inspection,2019-07-18,C,43.0,40.828723613901,-73.948757479918,New York,2019,,,C
21771,50018036,BUSHWICK PUBLIC HOUSE,201,Central Avenue,Brooklyn,Coffee/Tea,Cycle Inspection / Re-inspection,2023-03-01,B,27.0,40.697832066758,-73.924706797917,Kings,2023,,B,
21776,50018064,PEKING EXPRESS,8771,Parsons Boulevard,Queens,Chinese,Cycle Inspection / Re-inspection,2022-11-14,A,12.0,40.707417104379,-73.802607105429,Queens,2022,A,,
21781,50018081,CHECKERS,79,West 125 Street,Manhattan,Hamburgers,Cycle Inspection / Re-inspection,2022-03-02,B,25.0,40.807469209209,-73.944753410647,New York,2022,,B,
21785,50018090,BLVD WINE BAR,47-20,Center Boulevard,Queens,American,Cycle Inspection / Re-inspection,2018-06-27,A,12.0,40.745607740454,-73.957161911357,Queens,2018,A,,
21787,50018095,BURGER KING,3712,Junction Boulevard,Queens,Hamburgers,Cycle Inspection / Re-inspection,2022-11-17,C,38.0,40.751078934505,-73.870580005928,Queens,2022,,,C
21798,50018098,EDEN WOK,43,East 34 Street,Manhattan,Chinese,Cycle Inspection / Re-inspection,2023-02-22,A,10.0,40.747579654039,-73.982510569589,New York,2023,A,,
21800,50018121,RANCH RESTAURANT,1773,Southern Boulevard,Bronx,Caribbean,Cycle Inspection / Re-inspection,2022-09-08,A,0.0,40.837743138382,-73.887548155623,Bronx,2022,A,,
21804,50018140,SENZA GLUTEN,206,Sullivan Street,Manhattan,Italian,Cycle Inspection / Re-inspection,2018-11-20,A,5.0,40.729092259501,-74.000191226095,New York,2018,A,,
21806,50018154,12 CORNERS COFFEE,121,Mott Street,Manhattan,Coffee/Tea,Cycle Inspection / Re-inspection,2022-08-16,A,13.0,40.718036299893,-73.997005825877,New York,2022,A,,
21809,50018213,ALBATROSS BAR,3619,24Th Avenue,Queens,American,Cycle Inspection / Re-inspection,2019-11-13,A,11.0,40.770384165292,-73.91268162679,Queens,2019,A,,
21813,50018224,MITI MITI TAPERIA,138,5 Avenue,Brooklyn,Mexican,Cycle Inspection / Re-inspection,2022-02-28,A,7.0,40.678671631242,-73.978941435929,Kings,2022,A,,
21814,50018227,TIM HORTONS,1700,Richmond Avenue,Staten Island,Coffee/Tea,Cycle Inspection / Re-inspection,2022-11-07,A,9.0,40.607026647067,-74.162402399601,Richmond,2022,A,,
21816,50018252,THE ORIGINAL AMERICAN CHICKEN,7807,37Th Avenue,Queens,Chicken,Cycle Inspection / Re-inspection,2022-11-28,A,12.0,40.749376146778,-73.887849480225,Queens,2022,A,,
21818,50018268,MCDONALDS,1815,Forest Avenue,Staten Island,Hamburgers,Cycle Inspection / Re-inspection,2020-01-08,A,2.0,40.625179211221,-74.149370005093,Richmond,2020,A,,
21819,50018300,CAFE R,116,West 32 Street,Manhattan,American,Cycle Inspection / Re-inspection,2022-08-29,A,0.0,40.74881290184,-73.989472221139,New York,2022,A,,
21823,50018303,DUNKIN,206,West 104 Street,Manhattan,Donuts,Cycle Inspection / Re-inspection,2023-01-06,A,9.0,40.799281956047,-73.967052625573,New York,2023,A,,
21825,50018322,PAPA JOHNS,14714,45Th Avenue,Queens,Pizza,Cycle Inspection / Re-inspection,2022-02-28,A,10.0,40.755515139163,-73.814974499884,Queens,2022,A,,
21827,50018327,MOOT BAR,579,Myrtle Avenue,Brooklyn,American,Cycle Inspection / Re-inspection,2019-08-24,A,7.0,40.69402941829,-73.960956377436,Kings,2019,A,,
21835,50018356,BRICKTOWN BAGELS CAFE,5106,Vernon Boulevard,Queens,Bagels/Pretzels,Cycle Inspection / Re-inspection,2023-02-27,A,11.0,40.741824407336,-73.954436151804,Queens,2023,A,,
21839,50018380,GROUND CENTRAL,800,2 Avenue,Manhattan,Coffee/Tea,Cycle Inspection / Re-inspection,2022-11-14,A,13.0,40.750278379374,-73.971851915755,New York,2022,A,,
21843,50018385,THE UP UP,116,Macdougal Street,Manhattan,American,Cycle Inspection / Re-inspection,2018-09-29,A,8.0,40.729696105789,-74.00072522254,New York,2018,A,,
21847,50018394,HADI RESTAURANT,683,Coney Island Avenue,Brooklyn,Middle Eastern,Cycle Inspection / Re-inspection,2022-11-28,C,73.0,40.640720113261,-73.9691922744,Kings,2022,,,C
21863,50018405,SUBWAY,10502,Rockaway Boulevard,Queens,Sandwiches,Cycle Inspection / Re-inspection,2022-01-31,A,4.0,40.678800331621,-73.833961040163,Queens,2022,A,,
21865,50018426,GOTAN,130,Franklin Street,Manhattan,Mediterranean,Cycle Inspection / Re-inspection,2022-09-22,B,26.0,40.7191230618,-74.00686146073,New York,2022,,B,
21870,50018428,HAN WONG RESTAURANT,8510,20 Avenue,Brooklyn,Chinese,Cycle Inspection / Re-inspection,2022-12-27,A,13.0,40.605074979949,-73.997777990814,Kings,2022,A,,
21873,50018440,POPPYS,189,Columbia Street,Brooklyn,American,Cycle Inspection / Re-inspection,2021-08-12,A,9.0,40.685568414749,-74.002423013902,Kings,2021,A,,
21875,50018453,RADIO CITY PIZZA,142,West 49 Street,Manhattan,Pizza,Cycle Inspection / Re-inspection,2019-08-14,B,21.0,40.759791039418,-73.982171647892,New York,2019,,B,
21878,50018479,DUNKIN,590,Gateway Drive,Brooklyn,Donuts,Cycle Inspection / Re-inspection,2022-07-27,A,2.0,40.652457583141,-73.876570704975,Kings,2022,A,,
21879,50018482,M S NICE BAKERY RESTAURANT,819,Seneca Avenue,Queens,Bakery Products/Desserts,Cycle Inspection / Re-inspection,2023-01-12,B,18.0,40.701311656485,-73.90515544983,Queens,2023,,B,
21885,50018497,TARALLUCCI E VINO,9,East 90 Street,Manhattan,Italian,Cycle Inspection / Re-inspection,2023-01-12,B,18.0,40.783867238483,-73.958032734004,New York,2023,,B,
21887,50018514,INDIAN SPICE,351,7 Avenue,Brooklyn,Indian,Cycle Inspection / Re-inspection,2019-10-15,A,4.0,40.666145020169,-73.982182356111,Kings,2019,A,,
21889,50018547,MANDEVILLES BISTRO,944,Flatbush Avenue,Brooklyn,Caribbean,Cycle Inspection / Re-inspection,2022-12-27,A,13.0,40.648410271854,-73.958255205614,Kings,2022,A,,
21892,50018553,TEXAS FRIED CHICKEN,2144,8 Avenue,Manhattan,Chicken,Cycle Inspection / Re-inspection,2022-09-13,A,6.0,40.804204886391,-73.955509433435,New York,2022,A,,
21895,50018555,CARVEL,189,Beach 116 Street,Queens,Frozen Desserts,Cycle Inspection / Re-inspection,2020-01-16,A,2.0,40.579426905018,-73.836995383062,Queens,2020,A,,
21896,50018556,NO 1 CHINESE RESTAURANT,11663,Sutphin Boulevard,Queens,Chinese,Cycle Inspection / Re-inspection,2022-11-14,A,9.0,40.680922586433,-73.792212048751,Queens,2022,A,,
21898,50018562,BURGER TIME,1080,Morris Park Avenue,Bronx,Hamburgers,Cycle Inspection / Re-inspection,2019-09-17,A,11.0,40.849290420174,-73.853583958578,Bronx,2019,A,,
21910,50018573,TURCO,604,9 Avenue,Manhattan,Middle Eastern,Cycle Inspection / Re-inspection,2022-09-08,B,23.0,40.759234961255,-73.992026219978,New York,2022,,B,
21915,50018574,RESIDENCE INN WORLD TRADE CENTER,170,Broadway,Manhattan,American,Cycle Inspection / Re-inspection,2020-01-17,A,12.0,40.709661605149,-74.010092340491,New York,2020,A,,
