,camis,std_dba,building,street,boro,cuisine,insp_type,ts,grade,score,lat,long,county,year,tt_a,tt_b,tt_c
10987,41440450,KFC TACO BELL,208,Mcguinness Boulevard,Brooklyn,Tex-Mex,Cycle Inspection / Re-inspection,2023-01-30,A,5.0,40.729468769815,-73.950915949393,Kings,2023,A,,
10992,41441196,MOTORINO PIZZERIA NAPOLETANA,349,East 12 Street,Manhattan,Pizza,Cycle Inspection / Re-inspection,2022-09-27,A,13.0,40.730521266632,-73.984734056087,New York,2022,A,,
10995,41441326,KEG AND LANTERN TAVERN,97,Nassau Avenue,Brooklyn,Irish,Cycle Inspection / Re-inspection,2022-09-26,A,12.0,40.723956984925,-73.950234549976,Kings,2022,A,,
10997,41441462,DUNKIN,10962,Francis Lewis Boulevard,Queens,Donuts,Cycle Inspection / Re-inspection,2022-01-26,A,13.0,40.707078133808,-73.751127468185,Queens,2022,A,,
11005,41441583,KAPAMILYA,6910,Roosevelt Avenue,Queens,Filipino,Cycle Inspection / Re-inspection,2022-11-14,B,15.0,40.746339992501,-73.896122784181,Queens,2022,,B,
11011,41442317,CROWN FRIED CHICKEN,2106,Linden Boulevard,Brooklyn,Chicken,Cycle Inspection / Re-inspection,2022-11-18,B,26.0,40.660958755024,-73.885046747664,Kings,2022,,B,
11018,41442734,THE SACKETT,661,Sackett Street,Brooklyn,American,Cycle Inspection / Re-inspection,2023-01-25,A,5.0,40.677810295486,-73.982016991023,Kings,2023,A,,
11019,41442898,C L IMPERIAL,5914,Main Street,Queens,Asian/Asian Fusion,Cycle Inspection / Re-inspection,2023-02-23,A,12.0,40.743679965153,-73.825657182536,Queens,2023,A,,
11023,41443633,LUCKYS FAMOUS BURGERS,264,West 23 Street,Manhattan,Hamburgers,Cycle Inspection / Re-inspection,2022-08-17,B,23.0,40.744808747602,-73.997376334098,New York,2022,,B,
11032,41443726,MCKENNAS PUB,250,West 14 Street,Manhattan,American,Cycle Inspection / Re-inspection,2022-10-31,A,12.0,40.739146326535,-74.001125878852,New York,2022,A,,
11034,41443815,DOWNTOWN GALWAY HOOKER,133,7 Avenue South,Manhattan,Irish,Cycle Inspection / Re-inspection,2023-01-23,C,35.0,40.734565299151,-74.002244385625,New York,2023,,,C
11040,41443837,NEIRS TAVERN,8748,78 Street,Queens,American,Cycle Inspection / Re-inspection,2020-02-22,A,10.0,40.690238354079,-73.863479474021,Queens,2020,A,,
11041,41444291,THINK COFFEE,123,4 Avenue,Manhattan,Coffee/Tea,Cycle Inspection / Re-inspection,2019-11-19,A,11.0,40.733107410331,-73.989943785585,New York,2019,A,,
11044,41444302,ROCKWOOD MUSIC HALL STAGE 2 STAGE 3,190,Allen Street,Manhattan,American,Cycle Inspection / Re-inspection,2019-04-02,A,12.0,40.722240785634,-73.988899208106,New York,2019,A,,
11047,41444322,LOUIES PIZZERIA,81-34,Baxter Avenue,Queens,Pizza,Cycle Inspection / Re-inspection,2019-10-22,A,5.0,40.746111135105,-73.883600024648,Queens,2019,A,,
11048,41444651,TRIONAS,237,Sullivan Street,Manhattan,Irish,Cycle Inspection / Re-inspection,2019-04-03,A,12.0,40.729742768446,-73.999613935988,New York,2019,A,,
11051,41444679,FOO HING KITCHEN,522,East 138 Street,Bronx,Chinese,Cycle Inspection / Re-inspection,2023-01-30,B,22.0,40.807291740699,-73.918643883081,Bronx,2023,,B,
11063,41444789,ROBERTOS,603,Crescent Avenue,Bronx,Italian,Cycle Inspection / Re-inspection,2020-03-11,A,12.0,40.853570114271,-73.88839246586,Bronx,2020,A,,
11070,41444866,PIES N THIGHS,166,South 4 Street,Brooklyn,American,Cycle Inspection / Re-inspection,2022-03-24,A,9.0,40.711288656873,-73.961299722045,Kings,2022,A,,
11072,41444899,CASA ASIA,14945,14 Avenue,Queens,Chinese/Japanese,Cycle Inspection / Re-inspection,2019-06-03,A,8.0,40.788534746783,-73.815052112652,Queens,2019,A,,
11076,41445602,FLOR DE MAYO,484,Amsterdam Avenue,Manhattan,Latin American,Cycle Inspection / Re-inspection,2022-05-24,A,12.0,40.785936516755,-73.976300141742,New York,2022,A,,
11078,41445835,SAM WON GAHK,14420,Northern Boulevard,Queens,Korean,Cycle Inspection / Re-inspection,2023-02-01,B,24.0,40.764689859162,-73.823024445946,Queens,2023,,B,
11084,41446106,DUNKIN,281,Bruckner Boulevard,Bronx,Donuts,Cycle Inspection / Re-inspection,2022-01-31,A,0.0,40.805200014891,-73.910938051839,Bronx,2022,A,,
11091,41446174,L I E HOT BAGEL,210-25,Horace Harding Expressway,Queens,Bagels/Pretzels,Cycle Inspection / Re-inspection,2022-11-30,A,7.0,40.746429107713,-73.766365048929,Queens,2022,A,,
11092,41446753,TASTY GRILL,1422,150 Street,Queens,Greek,Cycle Inspection / Re-inspection,2022-02-01,B,18.0,40.788249690252,-73.813601178663,Queens,2022,,B,
11096,41447492,JIMBOS HAMBURGER PALACE,1025,East 163 Street,Bronx,Hamburgers,Cycle Inspection / Re-inspection,2022-11-23,B,19.0,40.820985243511,-73.891970044593,Bronx,2022,,B,
11099,41447522,FLATBUSH LATIN GRILL,1902,Church Avenue,Brooklyn,Latin American,Cycle Inspection / Re-inspection,2019-08-21,A,8.0,40.649822388345,-73.961987789722,Kings,2019,A,,
11100,41447792,FRESH CO,363,7 Avenue,Manhattan,American,Cycle Inspection / Re-inspection,2022-09-01,A,13.0,40.748601783099,-73.992348707523,New York,2022,A,,
11102,41447825,CHEEKY SANDWICHES,35,Orchard Street,Manhattan,Sandwiches,Cycle Inspection / Re-inspection,2022-08-30,C,29.0,40.715735905626,-73.991465095733,New York,2022,,,C
11115,41447856,WILD,535,Hudson Street,Manhattan,Italian,Cycle Inspection / Re-inspection,2022-03-01,A,13.0,40.734537707326,-74.006173862074,New York,2022,A,,
11117,41448021,PIER 76,76,Bay Street,Staten Island,Italian,Cycle Inspection / Re-inspection,2022-11-22,B,26.0,40.640284828856,-74.075627974944,Richmond,2022,,B,
11122,41448381,ACCRA RESTAURANT,2041,Davidson Avenue,Bronx,African,Cycle Inspection / Re-inspection,2020-03-09,A,13.0,40.853856841753,-73.908468782208,Bronx,2020,A,,
11126,41448603,TOMO JAPANESE RESTAURANT,1077,Flushing Avenue,Brooklyn,Japanese,Cycle Inspection / Re-inspection,2022-11-17,A,12.0,40.704592476483,-73.929066858265,Kings,2022,A,,
11130,41449122,TABARE,221,South 1 Street,Brooklyn,Latin American,Cycle Inspection / Re-inspection,2022-12-14,C,33.0,40.712956711403,-73.959094773167,Kings,2022,,,C
11140,41449421,LA GITANA PANADERIA RESTAURANTE,9012,Jamaica Avenue,Queens,Latin American,Cycle Inspection / Re-inspection,2020-02-24,A,2.0,40.692867755086,-73.854476908747,Queens,2020,A,,
11144,41449514,PURPLE YAM,1314,Cortelyou Road,Brooklyn,Asian/Asian Fusion,Cycle Inspection / Re-inspection,2022-11-10,B,21.0,40.640516081385,-73.965949460277,Kings,2022,,B,
